Players,Goals,FH,SH,FS,LS,H,A
Henri Camara,31,12,19,9,10,22,9
Craig Gardner,31,15,16,7,12,19,12
Hamilton Ricard,31,18,13,12,7,14,17
Yossi Benayoun,31,9,22,10,15,20,11
Kevin De Bruyne,31,15,16,11,8,21,10
Jason Wilcox,31,17,14,9,6,14,17
Ricky Lambert,31,14,17,11,11,16,15
Malcolm Christie,30,14,16,17,13,19,11
Oyvind Leonhardsen,30,12,18,10,7,16,14
Adam Lallana,30,14,16,12,9,19,11
Hugo Rodallega,29,10,19,15,14,17,12
Egil Ostenstad,29,13,16,10,6,16,13
Jordan Henderson,29,13,16,9,8,15,14
Nicky Butt,29,9,20,12,6,13,16
Nikica Jelavic,29,15,14,8,12,14,15
Juninho Paulista,29,14,15,9,11,17,12
Paul Rideout,29,12,17,8,13,17,12
Luis Boa Morte,29,13,16,11,13,18,11
Ian Taylor,29,10,19,12,15,20,9
Jurgen Klinsmann,29,15,14,10,7,15,14
Uwe Rosler,29,5,24,6,13,20,9
Kevin Mirallas,29,12,17,8,14,18,11
Pedro Rodriguez,29,16,13,13,6,18,11
Savo Milosevic,28,14,14,7,9,16,12
Paul Kitson,28,14,14,10,11,18,10
Marlon Harewood,28,11,17,6,8,13,15
Michail Antonio,28,13,15,13,9,15,13
Milan Baros,28,10,18,10,14,15,13
Richarlison,28,15,13,13,11,13,15
